Track ID,Frame Number,Timestamp (s),Center X (px),Center Y (px)
1,1,0.04,433.4,357.1
2,1,0.04,572.1,20.9
1,2,0.08,433.3,357.0
1,3,0.12,433.3,357.0
1,4,0.16,433.3,356.8
5,4,0.16,464.3,34.9
1,5,0.2,433.3,356.7
5,5,0.2,464.3,35.0
1,6,0.24,433.3,356.5
5,6,0.24,464.4,35.3
8,6,0.24,737.9,201.2
1,7,0.28,432.8,356.3
5,7,0.28,464.0,35.5
8,7,0.28,737.4,201.4
10,7,0.28,463.8,51.0
1,8,0.32,432.6,356.2
5,8,0.32,463.9,35.9
8,8,0.32,737.1,201.5
10,8,0.32,463.7,50.6
11,8,0.32,572.7,49.9
1,9,0.36,432.5,356.3
5,9,0.36,464.0,36.0
8,9,0.36,736.7,201.6
10,9,0.36,464.0,49.7
11,9,0.36,572.9,49.9
1,10,0.4,432.7,356.3
5,10,0.4,464.1,35.4
8,10,0.4,736.5,201.8
10,10,0.4,464.1,49.5
11,10,0.4,573.2,49.4
1,11,0.44,432.8,356.3
5,11,0.44,464.1,35.2
8,11,0.44,736.4,202.0
10,11,0.44,464.0,49.5
11,11,0.44,573.2,50.3
1,12,0.48,432.9,356.3
5,12,0.48,464.0,35.7
8,12,0.48,736.1,202.2
10,12,0.48,463.7,49.5
11,12,0.48,573.1,50.0
1,13,0.52,433.0,356.4
5,13,0.52,463.8,35.7
8,13,0.52,736.1,202.1
10,13,0.52,463.5,49.7
11,13,0.52,573.0,50.1
5,14,0.56,463.7,35.7
8,14,0.56,736.1,202.0
10,14,0.56,463.2,49.8
11,14,0.56,572.9,50.2
5,15,0.6,463.7,35.7
8,15,0.6,735.8,202.7
10,15,0.6,463.3,49.8
11,15,0.6,572.7,50.8
15,15,0.6,188.8,117.7
16,15,0.6,243.8,104.2
5,16,0.64,463.7,35.7
8,16,0.64,735.6,203.5
10,16,0.64,463.2,49.7
11,16,0.64,572.5,51.7
15,16,0.64,188.8,117.6
16,16,0.64,246.1,106.3
5,17,0.68,463.8,35.8
8,17,0.68,736.1,203.4
10,17,0.68,463.2,49.6
11,17,0.68,572.9,51.3
15,17,0.68,189.1,117.2
16,17,0.68,246.7,107.1
17,17,0.68,265.2,190.7
5,18,0.72,463.8,35.6
8,18,0.72,736.1,202.8
10,18,0.72,463.0,49.8
11,18,0.72,573.3,51.6
16,18,0.72,247.9,106.5
17,18,0.72,261.1,192.8
5,19,0.76,463.8,36.1
8,19,0.76,735.7,200.8
10,19,0.76,462.9,49.8
11,19,0.76,573.1,52.5
16,19,0.76,248.9,102.4
5,20,0.8,463.6,35.8
8,20,0.8,735.6,193.1
10,20,0.8,462.8,49.9
11,20,0.8,572.9,53.6
16,20,0.8,251.9,100.6
5,21,0.84,463.3,35.5
8,21,0.84,735.8,188.6
10,21,0.84,462.6,50.1
11,21,0.84,572.2,54.3
16,21,0.84,235.7,100.8
17,21,0.84,262.8,191.7
5,22,0.88,463.4,35.3
8,22,0.88,736.0,187.7
10,22,0.88,462.6,50.4
11,22,0.88,572.1,54.1
16,22,0.88,230.6,101.1
17,22,0.88,263.9,192.3
5,23,0.92,463.5,35.3
8,23,0.92,736.1,187.3
10,23,0.92,462.9,50.4
11,23,0.92,572.2,54.7
16,23,0.92,226.8,101.5
17,23,0.92,264.8,192.2
5,24,0.96,463.3,35.1
8,24,0.96,735.6,187.5
10,24,0.96,462.2,50.6
11,24,0.96,572.5,55.7
16,24,0.96,219.7,100.9
17,24,0.96,266.2,192.5
5,25,1.0,463.4,35.0
8,25,1.0,735.0,182.7
10,25,1.0,462.4,50.6
11,25,1.0,572.1,58.4
17,25,1.0,267.0,191.9
5,26,1.04,463.3,35.1
8,26,1.04,735.4,180.5
10,26,1.04,462.1,50.4
11,26,1.04,572.5,57.4
17,26,1.04,267.2,190.9
5,27,1.08,463.3,35.1
8,27,1.08,735.1,175.9
10,27,1.08,461.8,50.3
11,27,1.08,572.2,57.7
17,27,1.08,268.7,189.2
5,28,1.12,463.3,35.2
8,28,1.12,734.2,173.0
10,28,1.12,461.8,50.2
11,28,1.12,572.1,57.8
17,28,1.12,270.3,187.8
5,29,1.16,463.3,35.1
8,29,1.16,734.5,171.2
10,29,1.16,462.0,50.3
